Ref,Producto,Marca,Categoria,Proveedor,Canales
FRUT405 DI,DISUGUAL DOG FRUIT - POLLO Y PIÑA LATA POR 400 GR,DISUGUAL,ALIMENTOS HUMEDOS,ICONO PET,"C1,C4"
FRUT406 DI,DISUGUAL DOG FRUIT - SALMON Y ARANDANOS LATA POR 400 GR,DISUGUAL,ALIMENTOS HUMEDOS,ICONO PET,"C1,C4"
FTD1 KO,KONG PERRO CAUCHO TRAINING DUMMY,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
K1 KO,KONG PERRO CAUCHO EXTREME PORTAPASABOCAS LARGE,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
K2 KO,KONG PERRO CAUCHO EXTREME PORTAPASABOCAS MEDIUM,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
K3 KO,KONG PERRO CAUCHO EXTREME PORTAPASABOCAS SMALL,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
KB1 KO,KONG PERRO CAUCHO CLASSIC PELOTA MEDIUM-LARGE,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
KB2 KO,KONG PERRO CAUCHO CLASSIC PELOTA SMALL,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
KB21 KO,KONG PERRO CAUCHO CLASSIC PELOTA CON LAZO SMALL,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
KB31 KO,KONG PERRO CAUCHO CLASSIC HUESO SMALL,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
KD2 KO,KONG PERRO CAUCHO CLASSIC DENTAL BARRA MEDIUM,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
KF15 KO,KONG PERRO CAUCHO CLASSIC FRISBEE SMALL,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
KF3 KO,KONG PERRO CAUCHO CLASSIC FRISBEE LARGE,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
KJ2 KO,KONG PERRO CAUCHO CLASSIC JUMP JACK MEDIUM,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
KK KO,KONG PERRO CAUCHO CLASSIC PORTAPASABOCAS XX-LARGE,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
KM1 KO,KONG PERRO CAUCHO CLASSIC ANILLO MD-LG,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
KN2 KO,KONG PERRO CAUCHO SENIOR MEDIUM,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
KNG CLR LG BK,KONG COLLAR PERRO LARGE NEGRO,KONG,"COLLARES, ARNESES Y CORREAS",ICONO PET,"C1,C3,C4"
KNG CLR LG RD,KONG COLLAR PERRO LARGE ROJO,KONG,"COLLARES, ARNESES Y CORREAS",ICONO PET,"C1,C3,C4"
KNG CLR MD BK,KONG COLLAR PERRO MEDIUM NEGRO,KONG,"COLLARES, ARNESES Y CORREAS",ICONO PET,"C1,C3,C4"
KNG CLR MD RD,KONG COLLAR PERRO MEDIUM ROJO,KONG,"COLLARES, ARNESES Y CORREAS",ICONO PET,"C1,C3,C4"
KNG CLR SM BK,KONG COLLAR PERRO SMALL NEGRO,KONG,"COLLARES, ARNESES Y CORREAS",ICONO PET,"C1,C3,C4"
KNG CLR SM RD,KONG COLLAR PERRO SMALL ROJO,KONG,"COLLARES, ARNESES Y CORREAS",ICONO PET,"C1,C3,C4"
KNG CLR XL BK,KONG COLLAR PERRO EXTRA LARGE NEGRO,KONG,"COLLARES, ARNESES Y CORREAS",ICONO PET,"C1,C3,C4"
KNG CLR XL RD,KONG COLLAR PERRO EXTRA LARGE ROJO,KONG,"COLLARES, ARNESES Y CORREAS",ICONO PET,"C1,C3,C4"
KNG HNS LG BK,KONG ARNES NORWEGIAN LARGE NEGRO,KONG,"COLLARES, ARNESES Y CORREAS",ICONO PET,"C1,C3,C4"
KNG HNS LG RD,KONG ARNES NORWEGIAN LARGE ROJO,KONG,"COLLARES, ARNESES Y CORREAS",ICONO PET,"C1,C3,C4"
KNG HNS MD BK,KONG ARNES NORWEGIAN MEDIUM NEGRO,KONG,"COLLARES, ARNESES Y CORREAS",ICONO PET,"C1,C3,C4"
KNG HNS MD RD,KONG ARNES NORWEGIAN MEDIUM ROJO,KONG,"COLLARES, ARNESES Y CORREAS",ICONO PET,"C1,C3,C4"
KNG HNS SM BK,KONG ARNES NORWEGIAN SMALL NEGRO,KONG,"COLLARES, ARNESES Y CORREAS",ICONO PET,"C1,C3,C4"
KNG HNS SM RD,KONG ARNES NORWEGIAN SMALL ROJO,KONG,"COLLARES, ARNESES Y CORREAS",ICONO PET,"C1,C3,C4"
KNG HNS XL BK,KONG ARNES NORWEGIAN EXTRA LARGE NEGRO,KONG,"COLLARES, ARNESES Y CORREAS",ICONO PET,"C1,C3,C4"
KNG HNS XL RD,KONG ARNES NORWEGIAN EXTRA LARGE ROJO,KONG,"COLLARES, ARNESES Y CORREAS",ICONO PET,"C1,C3,C4"
KNG TRN LG BK,KONG CORREA RETRACTIL TERRAIN LARGE NEGRA 50 KG,KONG,CORREAS RETRACTILES,ICONO PET,"C1,C4"
KNG TRN LG RD,KONG CORREA RETRACTIL TERRAIN LARGE  ROJA 50 KG,KONG,CORREAS RETRACTILES,ICONO PET,"C1,C4"
KNG TRN MD BK,KONG CORREA RETRACTIL TERRAIN MEDIUM NEGRA 30 KG,KONG,CORREAS RETRACTILES,ICONO PET,"C1,C4"
KNG TRN MD RD,KONG CORREA RETRACTIL TERRAIN MEDIUM ROJA 30 KG,KONG,CORREAS RETRACTILES,ICONO PET,"C1,C4"
KNG TRN SM BK,KONG CORREA RETRACTIL TERRAIN SMALL NEGRA 20 KG,KONG,CORREAS RETRACTILES,ICONO PET,"C1,C4"
KNG TRN SM RD,KONG CORREA RETRACTIL TERRAIN SMALL ROJA 20 KG,KONG,CORREAS RETRACTILES,ICONO PET,"C1,C4"
KNG TRN XS BK,KONG CORREA RETRACTIL TERRAIN X-SMALL NEGRA 12 KG,KONG,CORREAS RETRACTILES,ICONO PET,"C1,C4"
KNG TRN XS RD,KONG CORREA RETRACTIL TERRAIN X-SMALL ROJA 12 KG,KONG,CORREAS RETRACTILES,ICONO PET,"C1,C4"
KP1 KO,KONG PERRO CAUCHO PUPPY PORTAPASABOCAS LARGE,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
KP15 KO,KONG PERRO CAUCHO PUPPY FRISBEE SMALL,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
KP2 KO,KONG PERRO CAUCHO PUPPY PORTAPASABOCAS MEDIUM,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
KP3 KO,KONG PERRO CAUCHO PUPPY PORTAPASABOCAS SMALL,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
KP31 KO,KONG PERRO CAUCHO PUPPY HUESO SMALL,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
KP4 KO,KONG PERRO CAUCHO PUPPY PORTAPASABOCAS X-SMALL,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
KP51 KO,KONG PERRO CAUCHO PUPPY HUESO CON CUERDA X-SMALL,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
KPB1 KO,KONG PERRO CAUCHO PUPPY PELOTA MEDIUM-LARGE,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
KPB2 KO,KONG PERRO CAUCHO PUPPY PELOTA SMALL,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
KPT11 KO,KONG PERRO CAUCHO PUPPY LLANTA MEDIUM,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
KPT21 KO,KONG PERRO CAUCHO PUPPY LLANTA SMALL,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
KT11 KO,KONG PERRO CAUCHO EXTREME LLANTA MEDIUM,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
KT2 KO,KONG PERRO CAUCHO TAILS MD,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
KT21 KO,KONG PERRO CAUCHO EXTREME LLANTA SMALL,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
KXL KO,KONG PERRO CAUCHO CLASSIC PORTAPASABOCAS EXTRA LARGE,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
MIME001 DI,DISUGUAL CAT MINI ME - N1 POLLO  LATA POR 85 GR,DISUGUAL,ALIMENTOS HUMEDOS,ICONO PET,"C1,C4"
MIME002 DI,DISUGUAL CAT MINI ME - N2 PATO LATA POR 85 GR,DISUGUAL,ALIMENTOS HUMEDOS,ICONO PET,"C1,C4"
MIME003 DI,DISUGUAL CAT MINI ME - N3 PAVO LATA POR 85 GR,DISUGUAL,ALIMENTOS HUMEDOS,ICONO PET,"C1,C4"
MIME004 DI,DISUGUAL CAT MINI ME - N4 CODORNIZ LATA POR 85 GR,DISUGUAL,ALIMENTOS HUMEDOS,ICONO PET,"C1,C4"
MIME005 DI,DISUGUAL CAT MINI ME - N5 CONEJO LATA POR 85 GR,DISUGUAL,ALIMENTOS HUMEDOS,ICONO PET,"C1,C4"
MIME006 DI,DISUGUAL CAT MINI ME - N6 CARNE LATA POR 85 GR,DISUGUAL,ALIMENTOS HUMEDOS,ICONO PET,"C1,C4"
MIME007 DI,DISUGUAL CAT MINI ME - N7 PESCADO BLANCO LATA POR 85 GR,DISUGUAL,ALIMENTOS HUMEDOS,ICONO PET,"C1,C4"
MIME008 DI,DISUGUAL CAT MINI ME - N8 SALMON LATA POR 85 GR,DISUGUAL,ALIMENTOS HUMEDOS,ICONO PET,"C1,C4"
NAN803TPP,NYLABONE HE DOG SNACK WILD CACHO VENADO 2 UNDS 80 GR,NYLABONE,SNACKS,ICONO PET,"C1,C2"
NBQ103TPP,NYLABONE HE DOG SNACK LONGER LASTING CHICKEN 2 UNDS  WOLF 178 GR,NYLABONE,SNACKS,ICONO PET,"C1,C2"
NBQ106P,NYLABONE HE DOG SNACK LONGER LASTING CHICKEN 3 UNDS REGULAR 141 GR,NYLABONE,SNACKS,ICONO PET,"C1,C2"
NCM4 KO,KONG GATO PELUCHE RELLENABLE CAMALEON,KONG,JUGUETES GATO,ICONO PET,"C1,C4"
NE101VPP,NYLABONE HE DOG SNACK LONGER LASTING  VARIETY 3 UNDS PETITE 66 GR,NYLABONE,SNACKS,ICONO PET,"C1,C2"
NE801TPP,NYLABONE HE DOG SNACK LONGER LASTING ROAST BEEF 2 UNDS PETITE 44 GR,NYLABONE,SNACKS,ICONO PET,"C1,C2"
NE802TPP,NYLABONE HE DOG SNACK LONGER LASTING ROAST BEEF 2 UNDS REGULAR 94 GR,NYLABONE,SNACKS,ICONO PET,"C1,C2"
